Age,Salary,Status
24,34153,1
37,96325,1
46,32999,0
32,75318,1
28,20814,1
25,96077,1
46,22443,1
38,95993,0
24,95916,1
43,93319,1
36,37368,0
40,35328,0
28,76942,1
28,47306,1
41,59915,1
38,57219,1
21,84644,0
25,80279,0
41,73028,0
20,20126,1
39,72329,1
38,47632,1
19,85310,1
41,75176,0
29,64327,0
47,88904,1
23,23797,0
19,67882,1
49,33718,1
45,54560,0
38,96589,1
18,42116,1
29,56244,0
43,21645,1
39,67523,1
46,39256,0
29,73173,1
42,57430,0
34,59282,1
44,83374,0
44,88244,0
48,31694,0
27,76264,1
49,95060,0
45,77545,0
45,59224,0
33,33224,0
32,60738,0
47,45150,1
47,83731,1
32,69688,1
47,93509,1
36,28577,1
29,28070,1
40,28666,1
37,77761,0
49,56368,1
42,26783,0
20,61914,0
22,90507,1
36,99026,0
24,87526,0
38,90835,0
26,65765,0
24,39956,1
35,66240,1
21,57148,1
42,24757,1
45,39097,1
31,30395,1
35,36241,1
43,47696,1
26,90480,1
43,66163,1
38,39816,0
19,69840,1
37,72853,0
45,44917,0
32,41566,0
45,95452,0
24,82823,1
29,40806,0
46,95520,1
25,21759,1
32,61949,0
20,22482,1
31,44442,0
34,53719,0
21,78066,1
35,22079,1
25,22717,0
21,79676,1
19,47952,1
47,62460,1
23,92847,0
39,38449,0
27,53536,1
21,84077,1
39,58258,1
46,68302,1
48,48865,1
35,26645,0
43,58000,1
29,46737,0
19,31485,1
27,58565,0
47,45522,1
21,85155,0
31,75168,1
48,72487,0
33,32342,0
32,60806,0
25,68770,0
31,98623,0
40,95629,0
45,72603,1
42,46399,0
47,96534,1
25,75106,1
38,50678,1
33,96218,1
30,83230,1
35,94055,0
32,76373,0
38,51480,0
41,88836,1
43,92258,0
42,59986,0
45,44160,0
45,99111,0
45,84929,0
30,93506,1
26,54911,0
46,51821,1
32,95039,1
30,80535,1
18,32175,1
42,74771,1
24,86358,0
26,37327,0
41,67057,0
18,26150,1
29,24425,0
25,36032,0
41,22198,1
48,80500,1
28,73394,1
36,40079,1
34,56220,0
25,61874,1
20,33859,1
20,70460,0
18,51419,0
44,28705,1
22,62880,0
27,43236,1
24,35358,1
43,96918,0
26,34596,0
45,53572,1
24,98757,1
26,21279,1
25,83197,0
29,82516,1
19,27083,1
18,37771,1
33,49975,1
40,65648,1
40,68285,0
47,39063,1
41,87642,1
22,57599,1
20,71920,1
29,48529,0
25,55954,0
39,47856,0
44,22573,1
20,98344,1
18,55367,0
20,80774,0
22,43752,0
32,75029,1
31,37685,1
20,71693,0
18,75961,0
22,96908,0
43,94532,1
40,76133,1
48,81268,1
31,58243,0
24,77384,0
44,51653,1
26,46657,0
32,59952,1
32,42180,0
43,98411,0
27,21622,0
45,68756,0
30,60809,1
36,36725,0
48,81396,1
49,71226,1
24,49402,1
34,24263,0
37,66828,1
46,67924,1
49,94182,1
21,79052,0
47,31664,0
22,55737,1
40,49373,0
24,56397,1
30,58709,1
32,81120,0
28,39250,1
46,41172,0
21,31555,0
30,98617,1
49,73276,0
24,77492,0
44,73002,1
36,92355,1
39,44762,0
45,31046,0
19,48769,1
27,73302,0
30,43150,0
47,88247,0
42,24853,0
38,41792,0
23,79129,0
45,94478,0
45,87298,1
29,51987,1
29,35850,1
37,32112,1
47,44058,1
47,65420,0
28,58890,0
49,86017,0
43,67304,0
40,52921,1
45,21524,0
42,35048,0
24,55111,1
47,57904,0
18,74912,0
18,54008,1
42,20060,0
44,94666,0
47,75337,0
42,33350,0
37,44354,0
30,65186,1
26,48145,1
20,54020,1
24,95186,1
23,40581,1
25,43051,1
44,71474,0
26,89626,1
47,26960,1
22,55772,0
18,41520,0
36,69481,1
27,56408,0
29,77134,1
41,40491,0
32,21341,1
44,64623,0
39,20338,0
49,91431,1
49,32254,1
41,71860,1
26,31344,1
37,21750,1
34,74756,0
47,87957,1
34,78053,1
43,90855,0
37,35896,0
29,75761,1
47,82552,0
24,97454,0
19,47935,1
20,57641,0
34,49711,0
22,90342,1
34,32182,1
41,76276,0
34,39541,0
44,64813,1
34,57198,0
19,28820,0
19,44070,0
45,89768,1
39,31122,0
40,93543,0
22,61786,1
49,26737,0
18,56062,0
18,74237,1
36,71571,1
47,45510,1
19,39426,1
38,57265,0
29,37850,0
43,86150,1
49,94910,1
23,72375,0
49,55435,1
40,77132,0
21,98945,1
40,22983,0
28,40662,1
41,43510,1
44,98187,0
34,60998,1
48,76846,0
23,26640,0
41,64547,0
22,74620,0
37,35317,0
19,27564,1
23,47345,1
39,99273,0
28,94859,1
48,94038,0
33,72393,1
33,86081,1
18,49430,1
26,95532,1
45,47788,0
44,68543,0
23,33919,1
33,89346,1
46,59974,0
20,36371,1
37,65084,0
45,49629,0
44,71184,0
21,81916,1
36,93972,0
43,82187,1
20,32984,0
48,53039,1
36,78606,1
37,30616,1
49,70072,0
24,44574,0
37,23430,1
26,32676,1
18,30816,1
25,52733,0
49,22050,0
24,53933,0
35,44951,0
25,52413,1
18,54801,1
28,75619,0
45,52913,0
42,60600,1
42,77775,0
35,55400,0
40,24494,0
48,94691,0
47,63001,0
27,87364,0
20,65028,1
24,57573,0
45,20806,0
33,76638,1
43,49757,1
33,54636,1
42,68280,0
37,44262,1
45,82211,0
34,74842,0
19,76979,0
18,58197,1
33,61844,1
47,84754,1
29,54157,1
22,97129,1
22,60042,0
49,81665,0
44,47376,0
40,75554,0
26,34199,1
26,70948,1
20,93781,0
36,92750,1
33,86262,1
33,66600,0
20,96898,0
37,82483,1
41,38297,1
39,50448,0
41,46172,0
18,62874,0
41,27657,1
37,45425,0
28,46685,0
34,44578,1
25,48831,1
21,27906,1
23,81413,1
25,74028,1
37,27287,0
47,53660,0
20,95758,1
33,80504,1
47,79720,1
42,54701,1
20,37674,1
42,43874,0
46,63642,0
35,85160,0
49,37602,0
31,45931,1
35,49192,0
19,66542,1
39,62520,1
20,84772,1
33,78762,0
46,70106,1
26,45559,0
21,53742,0
18,89669,1
21,41754,1
18,23972,1
31,90831,0
38,61873,1
33,29903,0
37,23020,1
41,61755,1
49,65648,0
25,29516,0
24,22396,0
20,39129,0
34,21591,0
49,31303,0
18,50561,1
33,91719,1
29,27314,0
44,39623,1
36,87675,0
39,85082,1
40,53130,1
39,71756,0
31,46292,0
47,89274,0
23,22469,1
23,73947,0
30,42534,1
36,83620,0
39,68874,1
25,69708,1
44,94553,0
44,88344,1
19,69138,1
38,74302,0
47,67638,1
18,98249,0
45,22719,0
32,42890,0
